Zm00001d027230	LOC103644366
Zm00001d027231	pco082477
Zm00001d027239	bnlg149
Zm00001d027242	gbss2
Zm00001d027259	LOC100278565
Zm00001d027258	Zm00001d027258
Zm00001d027265	mha11
Zm00001d027266	si486065g06
Zm00001d027267	pco071167a
Zm00001d027268	stp3
Zm00001d027276	LOC103630457
Zm00001d027277	gpm923
Zm00001d027278	thk1
Zm00001d027283	expb3
Zm00001d027285	npf4
Zm00001d027288	umc1613
Zm00001d027290	umc1353a
Zm00001d027291	umc1353b
Zm00001d027292	gras53
Zm00001d027293	spr1
Zm00001d027295	tub1
Zm00001d027299	polm1
Zm00001d027300	prd4
Zm00001d027302	csu738
Zm00001d027305	lsi2
Zm00001d027307	si605011d06a
Zm00001d027309	ptp1
Zm00001d027312	rfwd3
Zm00001d027313	si486043g09(3)
Zm00001d027314	umc2748
Zm00001d027317	rld2
Zm00001d027318	btf3
Zm00001d027320	LOC103630668
Zm00001d027321	cl5994_1
Zm00001d027322	LOC100501456
Zm00001d027323	pco121752
Zm00001d027326	arp4
Zm00001d027329	met7
Zm00001d027330	remo2
Zm00001d027332	plt12
Zm00001d027333	cl584_1(3)
Zm00001d027335	thx18
Zm00001d027337	krp17
Zm00001d027340	umc2183
Zm00001d027342	gpm319
Zm00001d027344	LOC100272424
Zm00001d027345	LOC103630760
Zm00001d027347	bhlh194
Zm00001d027351	GRMZM2G426802
Zm00001d027354	LOC103630827
Zm00001d027355	IDP6908
Zm00001d027359	fus6
Zm00001d027363	dpr1
Zm00001d027366	pmp1
Zm00001d027367	pyrd1
Zm00001d027369	GRMZM2G030299
Zm00001d027369	ereb214
Zm00001d027373	cdc2
Zm00001d027380	cl16599_1a
Zm00001d027383	Zm00001d027383
Zm00001d027384	si618024d08
Zm00001d027385	IDP1464
Zm00001d027386	pld15
Zm00001d027387	pco096605(61)
Zm00001d027389	nad5 (homolog)
Zm00001d027392	cals9
Zm00001d027393	ppr3
Zm00001d027395	nactf78
Zm00001d027400	tho1
Zm00001d027401	si707050h06a
Zm00001d027405	mib1
Zm00001d027409	abi8
Zm00001d027412	dcl101
Zm00001d027415	atg1a
Zm00001d027419	bhlh140
Zm00001d027421	IDP2420
Zm00001d027422	Zm00001d027422
Zm00001d027425	zag6
Zm00001d027427	uce3
Zm00001d027429	IDP658
Zm00001d027430	cl250_1a
Zm00001d027431	knox1
Zm00001d027435	hb30
Zm00001d027436	LOC100383535
Zm00001d027439	AY107629
Zm00001d027441	pgl106
Zm00001d027442	IDP3811
Zm00001d027443	hyd6
Zm00001d027444	IDP755
Zm00001d027445	LOC100194359
Zm00001d027446	umc1292
Zm00001d027447	umc2523
Zm00001d027450	csu680a
Zm00001d027453	ofp1
Zm00001d027454	GRMZM2G055704
Zm00001d027455	cipk9
Zm00001d027456	pba1
Zm00001d027458	KJ682451
Zm00001d027459	nactf33
Zm00001d027460	gpm330
Zm00001d027461	bzip114
Zm00001d027462	fha1
Zm00001d027466	kea5
Zm00001d027468	gpm280a
Zm00001d027471	pco137023
Zm00001d027472	cals1
Zm00001d027480	cdpk36
Zm00001d027483	GRMZM2G321041
Zm00001d027484	cl2088_1
Zm00001d027485	cl36375_1a
Zm00001d027486	mlo1
Zm00001d027487	cl19897_1
Zm00001d027488	gpb1
Zm00001d027490	mha6
Zm00001d027492	glk48
Zm00001d027493	nad4
Zm00001d027495	iaa1
Zm00001d027496	bhlh49
Zm00001d027497	bhlh50
Zm00001d027500	fsgt1
Zm00001d027504	php20537b
Zm00001d027505	LOC103631588
Zm00001d027506	bnlg1014
Zm00001d027510	nlp7
Zm00001d027511	cat2
Zm00001d027512	cl457_2a
Zm00001d027514	phm6238
Zm00001d027515	IDP8147
Zm00001d027517	cl61826_1
Zm00001d027520	expa6
Zm00001d027524	chn22
Zm00001d027525	chn32
Zm00001d027527	IDP4043
Zm00001d027528	Zm00001eb002650
Zm00001d027530	nactf53
Zm00001d027536	sat4
Zm00001d027539	gst11
Zm00001d027540	gst12
Zm00001d027541	gst58
Zm00001d027542	gst10
Zm00001d027544	cl11544_1a
Zm00001d027546	bhlh35
Zm00001d027548	smt2
Zm00001d027549	pht10
Zm00001d027557	gst31
Zm00001d027558	aco12
Zm00001d027570	prh101
Zm00001d027571	prh95
Zm00001d027572	prh97
Zm00001d027578	ommp1
Zm00001d027581	cl3927_1a
Zm00001d027582	mgt10
Zm00001d027585	cki3
Zm00001d027587	bzr9
Zm00001d027588	TIDP3353
Zm00001d027589	umc1948
Zm00001d027590	php20603
Zm00001d027593	prc3
Zm00001d027595	IDP65a
Zm00001d027596	si687077f10a
Zm00001d027598	cct101
Zm00001d027599	cl309_1
Zm00001d027601	TIDP3460
Zm00001d027605	IDP7821
Zm00001d027607	pdlp1
Zm00001d027613	pco082302
Zm00001d027618	pco098394
Zm00001d027619	amyb2
Zm00001d027623	myb120
Zm00001d027624	cl4845_1
Zm00001d027625	mrpa4
Zm00001d027628	IDP8218
Zm00001d027630	umc1484
Zm00001d027633	IDP1437a
Zm00001d027648	cl14031_1
Zm00001d027649	Zm00001d027649
Zm00001d027652	tip1
Zm00001d027655	IDP847
Zm00001d027656	lls1
Zm00001d027659	mmp93
Zm00001d027665	LOC103644425
Zm00001d022669	pilncr1
Zm00001d027667	citt1
Zm00001d027672	XP_020400651.1
Zm00001d027675	cl20312_1a
Zm00001d027678	lbd1
Zm00001d027679	rtcs1
Zm00001d027680	pco140232
Zm00001d027682	si687004d10
Zm00001d027683	cl15737_-2
Zm00001d027687	ereb95
Zm00001d027688	umc1222
Zm00001d027694	GRMZM2G112728
Zm00001d027695	grx15
Zm00001d027699	LOC100277440
Zm00001d027700	pht9
Zm00001d027703	hagtf1
Zm00001d027707	umc2595
Zm00001d027709	e2f19
Zm00001d027710	prx44
Zm00001d027711	GRMZM2G122787
Zm00001d027714	rsua1
Zm00001d027722	nod1
Zm00001d027727	gpm584
Zm00001d027728	LOC100193503
Zm00001d027731	umc2224
Zm00001d027734	IDP8388
Zm00001d027739	ofp2
Zm00001d027740	rab30
Zm00001d027741	ppr7
Zm00001d027742	umc1723a
Zm00001d027749	sfp4
Zm00001d027751	nmat2
Zm00001d027753	bhlh110
Zm00001d027755	IDP3918b
Zm00001d027756	gpm556
Zm00001d027757	hsftf13
Zm00001d027759	yuc7
Zm00001d027760	LOC100273753
Zm00001d027763	IDP1425
Zm00001d027766	kcs30
Zm00001d027768	npi406
Zm00001d027769	gsr1
Zm00001d027790	si687050d12a
Zm00001d027794	si486092g03(78)
Zm00001d027799	LOC100192801
Zm00001d027802	hb64
Zm00001d027803	TIDP3300
Zm00001d027810	gpat16
Zm00001d027812	plt33
Zm00001d027814	si496006e06a
Zm00001d027815	mmp68
Zm00001d027819	esr2
Zm00001d027824	vq1
Zm00001d027832	A0A1D6JQ00
Zm00001d027835	ppr10
Zm00001d027837	ms26
Zm00001d027838	sdg122
Zm00001d027841	rpe1
Zm00001d027844	LOC103631773
Zm00001d027845	LOC103631772
Zm00001d027846	dof21
Zm00001d027847	cl61115_1a
Zm00001d027848	cox10b
Zm00001d027851	umc115
Zm00001d027852	hb102
Zm00001d027854	sut1
Zm00001d027855	bhlh74
Zm00001d027856	pco092990a
Zm00001d027859	bhlh84
Zm00001d027861	cl6289_1
Zm00001d027866	IDP5887
Zm00001d027868	bb2
Zm00001d027869	cl776_1
Zm00001d027870	ereb38
Zm00001d027871	adss1
Zm00001d048294	IDP209
Zm00001d027874	nfya1
