geneID	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
AT1G15930	1.73725633951645e-145	1.07028697938564	0.841	0.7	3.95590641071291e-141	0	AT1G15930
AT3G02080	1.00063310167454e-134	0.914916672811241	0.851	0.754	2.2785416358231e-130	0	AT3G02080
AT3G11940	6.04944866849483e-121	0.804285347583345	0.863	0.793	1.37751995630296e-116	0	AT3G11940
AT3G24830	2.46473303592883e-119	0.870467806016173	0.839	0.778	5.61244359611355e-115	0	AT3G24830
AT5G10360	1.20313159759828e-105	0.979698670545026	0.774	0.695	2.73965096089105e-101	0	AT5G10360
AT1G43170	4.56532991827142e-96	0.883807426323423	0.78	0.701	1.03957127568958e-91	0	AT1G43170
AT3G02560	2.13327593317978e-84	0.942708948753057	0.725	0.631	4.85768262744367e-80	0	AT3G02560
AT5G27700	5.61452912587364e-84	0.894752153675646	0.746	0.703	1.27848442725269e-79	0	AT5G27700
AT1G30230	6.81550982394351e-83	0.810292419481952	0.767	0.719	1.55195974201018e-78	0	AT1G30230
AT4G00100	3.38081790066696e-73	0.781318403897101	0.754	0.713	7.69846044160874e-69	0	AT4G00100
AT3G04920	3.94297256691499e-65	0.754389577803715	0.746	0.689	8.97854283212213e-61	0	AT3G04920
AT2G27720	4.78280824748534e-63	0.816199702765466	0.696	0.642	1.08909326603489e-58	0	AT2G27720
AT3G22230	8.15878356534031e-63	0.854000583772148	0.695	0.628	1.85783660566364e-58	0	AT3G22230
AT1G04270	1.24149793867799e-58	0.798772965508666	0.672	0.622	2.82701495616365e-54	0	AT1G04270
AT3G59540	1.32229809814241e-58	0.711248887464997	0.738	0.718	3.01100499928008e-54	0	AT3G59540
AT3G12120	8.75753213364814e-58	0.711464264389716	0.749	0.761	1.99417764215302e-53	0	AT3G12120
AT5G23740	6.05245159782943e-56	0.908689888192191	0.645	0.593	1.37820375334174e-51	0	AT5G23740
AT5G60390	1.68697393003775e-52	0.427146821640871	0.897	0.891	3.84140833608896e-48	0	AT5G60390
AT2G25210	9.51450699903956e-51	0.843796242734146	0.654	0.616	2.1665483887513e-46	0	AT2G25210
AT5G01350	7.29426085785487e-48	0.740262443009077	0.695	0.733	1.66097613994213e-43	0	AT5G01350
AT1G27400	2.20446114918708e-47	0.817539705783757	0.622	0.561	5.0197784828139e-43	0	AT1G27400
AT3G53020	1.70368012203248e-44	0.680097990889147	0.693	0.704	3.87945000588015e-40	0	AT3G53020
AT2G43460	2.6790837803437e-43	0.614173713519481	0.717	0.732	6.10054167622065e-39	0	AT2G43460
AT2G19740	2.40373202892608e-31	0.91036249775856	0.512	0.466	5.47353820306758e-27	0	AT2G19740
AT2G21580	5.03353472128029e-31	0.745768333452007	0.579	0.571	1.14618619138273e-26	0	AT2G21580
AT5G60670	1.11544811305807e-30	0.806784214088528	0.512	0.432	2.53998689824454e-26	0	AT5G60670
AT1G18540	2.89434199551193e-29	0.735212008178124	0.597	0.597	6.59070615798022e-25	0	AT1G18540
AT5G51510	8.03810396735956e-28	0.259006097440208	0.129	0.371	1.83035665440745e-23	0	AT5G51510
AT2G20860	2.76389278735237e-26	0.250595838833819	0.142	0.384	6.29366026608009e-22	0	AT2G20860
AT3G57150	5.49203129018294e-26	0.946472325576549	0.362	0.254	1.25059044508756e-21	0	AT3G57150
AT2G43750	6.22234306834746e-26	0.256585001462793	0.142	0.381	1.4168897400934e-21	0	AT2G43750
AT5G51940	2.25852954587639e-25	0.257748702143583	0.129	0.356	5.14289762891514e-21	0	AT5G51940
AT4G28910	3.69285688227464e-25	0.251307627665515	0.134	0.365	8.40900440662759e-21	0	AT4G28910
AT3G01540	4.11794100959775e-25	0.277838773486301	0.221	0.518	9.37696347295504e-21	0	AT3G01540
AT2G20280	7.4541192522267e-25	0.299777412405928	0.138	0.373	1.69737749492454e-20	0	AT2G20280
AT4G10920	1.95306503675125e-24	0.30294823651513	0.175	0.434	4.44732439518627e-20	0	AT4G10920
AT2G27530	3.94857128942727e-24	0.527618327872579	0.67	0.683	8.99129168315485e-20	0	AT2G27530
AT5G47700	7.48942877899213e-24	0.67545160855066	0.591	0.613	1.7054178272643e-19	0	AT5G47700
AT1G68140	1.04046429425228e-23	0.275352962321417	0.189	0.452	2.36924124444186e-19	0	AT1G68140
AT5G40660	1.31907544400454e-23	0.284640387274165	0.128	0.346	3.00366669354274e-19	0	AT5G40660
AT5G03500	2.39678709091169e-23	0.258156250095501	0.158	0.396	5.457723884715e-19	0	AT5G03500
AT3G51500	4.53847432866137e-23	0.308780042679939	0.124	0.337	1.03345598937948e-18	0	AT3G51500
AT2G44120	7.25043373558507e-23	0.804042150047072	0.508	0.483	1.65099626593008e-18	0	AT2G44120
AT2G27100	2.0517336201119e-22	0.282050743722125	0.124	0.332	4.6720026263568e-18	0	AT2G27100
AT5G52070	2.25042609739299e-22	0.256608743854779	0.103	0.293	5.12444526637357e-18	0	AT5G52070
AT3G57930	4.29036212788726e-22	0.252316482449988	0.132	0.342	9.76958360141207e-18	0	AT3G57930
AT2G35795	4.30936657996136e-22	0.269094213165009	0.13	0.341	9.81285863923002e-18	0	AT2G35795
