# enricher v3.3.1
# Feature file:  miniexExample_featureFileGO.out
# Gene set file: miniexExample_setFileRegulons.out
# Input: n_gen=1548,  n_set=61, n_ftr=2392
# Options: min-hits=2 fdr=0.05 find-depleted=0
#          min-genes=1 max-genes=1548
#          min-information-content=0 max-information-content=1
# Background: 4999 genes used in background (from background file 'miniexExample_expressedGenes.txt')
set_id	ftr_id	p-val	q-val	enr_fold	set_size	ftr_size	ftr_ic	n_hits	hits
AT2G28810_Cluster_28	GO:0000003	0.000190643	0.000749619	3.63564	121	125	0.342614	11	AT1G72150,AT4G20270,AT1G28520,AT4G37450,AT3G24770,AT1G16340,AT4G31590,AT5G37770,AT3G50870,AT3G07130,AT4G24960
AT2G28810_Cluster_28	GO:0006996	1.27236e-05	7.35514e-05	6.09552	121	61	0.440295	9	AT2G31200,AT1G04750,AT5G59880,AT5G58060,AT4G11220,AT4G04910,AT4G34490,AT5G62500,AT3G13870
AT2G28810_Cluster_28	GO:0007049	0.0152267	0.0246496	5.63373	121	22	0.579148	3	AT1G04750,AT4G37450,AT2G39830
AT2G28810_Cluster_28	GO:0009987	9.42537e-16	5.64961e-14	3.27889	121	630	0.122401	50	AT2G31200,AT5G43010,AT1G72150,AT5G22090,AT1G04750,AT4G14740,AT5G42200,AT4G14770,AT4G20270,AT5G35590,AT5G22360,AT1G16470,AT1G65960,AT5G45940,AT2G32200,AT5G54940,AT1G28520,AT3G52880,AT5G59880,AT5G02490,AT4G37450,AT5G01380,AT5G43870,AT1G62430,AT5G05780,AT5G60920,AT1G29850,AT5G40580,AT5G58060,AT3G22110,AT3G24770,AT1G16340,AT5G60850,AT4G31590,AT2G39830,AT4G11220,AT3G50870,AT4G04910,AT5G55700,AT2G45820,AT4G24960,AT1G28470,AT2G41140,AT4G34490,AT2G04240,AT4G12420,AT5G62500,AT2G28810,AT3G13870,AT2G38250
AT2G28810_Cluster_28	GO:0016043	2.30082e-06	1.63049e-05	4.79538	121	112	0.357566	13	AT2G31200,AT1G04750,AT5G59880,AT4G37450,AT5G60920,AT5G58060,AT1G16340,AT4G31590,AT4G11220,AT4G04910,AT4G34490,AT5G62500,AT3G13870
AT2G28810_Cluster_28	GO:0022402	0.0100986	0.0179344	6.52327	121	19	0.599108	3	AT1G04750,AT4G37450,AT2G39830
AT2G28810_Cluster_28	GO:0022414	0.000190643	0.000749619	3.63564	121	125	0.342614	11	AT1G72150,AT4G20270,AT1G28520,AT4G37450,AT3G24770,AT1G16340,AT4G31590,AT5G37770,AT3G50870,AT3G07130,AT4G24960
AT2G28810_Cluster_28	GO:0044085	0.00195348	0.00499657	4.50699	121	55	0.454393	6	AT1G04750,AT4G37450,AT5G60920,AT1G16340,AT1G28470,AT3G13870
AT2G28810_Cluster_28	GO:0071840	3.28577e-06	2.22588e-05	4.31639	121	134	0.333148	14	AT2G31200,AT1G04750,AT5G59880,AT4G37450,AT5G60920,AT5G58060,AT1G16340,AT4G31590,AT4G11220,AT4G04910,AT1G28470,AT4G34490,AT5G62500,AT3G13870
AT2G28810_Cluster_28	GO:0003006	0.000445144	0.0015214	3.56156	121	116	0.352788	10	AT1G72150,AT4G20270,AT1G28520,AT4G37450,AT3G24770,AT1G16340,AT4G31590,AT5G37770,AT3G50870,AT4G24960
AT2G28810_Cluster_28	GO:0007275	4.24723e-05	0.000207468	3.11804	121	212	0.270689	16	AT1G63180,AT4G14770,AT4G20270,AT5G45940,AT1G28520,AT4G37450,AT5G05780,AT3G24770,AT4G31590,AT5G37770,AT2G39830,AT3G50870,AT3G07130,AT4G24960,AT1G10940,AT3G13870
AT2G28810_Cluster_28	GO:0009791	0.00945126	0.017113	2.68709	121	123	0.34481	8	AT4G14770,AT4G20270,AT1G28520,AT3G24770,AT5G37770,AT3G50870,AT3G07130,AT4G24960
AT2G28810_Cluster_28	GO:0022622	0.0126007	0.0213475	3.56156	121	58	0.447162	5	AT4G20270,AT3G24770,AT2G39830,AT1G10940,AT3G13870
AT2G28810_Cluster_28	GO:0032501	2.70164e-06	1.87949e-05	3.34028	121	235	0.256665	19	AT1G63180,AT1G72150,AT4G14770,AT4G20270,AT5G45940,AT1G06490,AT1G28520,AT4G37450,AT5G05780,AT3G24770,AT1G16340,AT4G31590,AT5G37770,AT2G39830,AT3G50870,AT3G07130,AT4G24960,AT1G10940,AT3G13870
AT2G28810_Cluster_28	GO:0032502	1.63273e-07	1.52308e-06	3.5093	121	259	0.243425	22	AT1G63180,AT1G72150,AT4G14770,AT4G20270,AT5G45940,AT5G14510,AT1G28520,AT4G37450,AT1G62430,AT5G05780,AT3G24770,AT1G16340,AT4G31590,AT5G37770,AT2G39830,AT3G50870,AT3G07130,AT4G24960,AT4G34490,AT1G10940,AT4G12420,AT3G13870
AT2G28810_Cluster_28	GO:0048364	0.0126007	0.0213475	3.56156	121	58	0.447162	5	AT4G20270,AT3G24770,AT2G39830,AT1G10940,AT3G13870
AT2G28810_Cluster_28	GO:0048367	0.00531468	0.0108833	3.69977	121	67	0.427522	6	AT4G20270,AT5G05780,AT3G24770,AT5G37770,AT3G50870,AT4G24960
AT2G28810_Cluster_28	GO:0048608	0.0280869	0.0400248	2.58213	121	96	0.378554	6	AT4G20270,AT1G28520,AT3G24770,AT5G37770,AT3G50870,AT4G24960
AT2G28810_Cluster_28	GO:0048731	0.00199715	0.00508889	2.75427	121	165	0.304814	11	AT4G20270,AT1G28520,AT5G05780,AT3G24770,AT4G31590,AT5G37770,AT2G39830,AT3G50870,AT4G24960,AT1G10940,AT3G13870
