TF	alias	hasTFrelevantGOterm	GOterm	GOdescription	cluster	celltype	isTF_DE	totRegInCluster	#TGs	qval_cluster	out-degree	closeness	betweenness	med_coexpr	TF_qval	GO_enrich_qval	GO_enrich_term	GO_enrich_desc	#TGs_withGO	borda_rank	borda_clusterRank
AT1G16490	MYB58/ AtMYB58/ ATMYB58	known_TF	GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009416,GO:0009628,GO:0009698,GO:0009699,GO:0009808,GO:0009809,GO:0009832,GO:0009834,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019748,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0034641,GO:0034654,GO:0042546,GO:0043170,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044550,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:1901360,GO:1901362,GO:1901576,GO:1902680,GO:1903338,GO:2000652,GO:2001141	nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,cellular aromatic compound metabolic process,nitrogen compound metabolic process,metabolic process,biosynthetic process,macromolecule biosynthetic process,response to radiation,response to light stimulus,response to abiotic stimulus,phenylpropanoid metabolic process,phenylpropanoid biosynthetic process,lignin metabolic process,lignin biosynthetic process,plant-type cell wall biogenesis,plant-type secondary cell wall biogenesis,regulation of biosynthetic process,positive regulation of biosynthetic process,positive regulation of metabolic process,cellular process,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,secondary metabolic process,regulation of cellular metabolic process,positive regulation of cellular metabolic process,regulation of cellular biosynthetic process,positive regulation of cellular biosynthetic process,RNA biosynthetic process,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,cell wall biogenesis,macromolecule metabolic process,cellular component biogenesis,regulation of cellular component biogenesis,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,secondary metabolite biosynthetic process,positive regulation of DNA-templated transcription,positive regulation of nucleobase-containing compound metabolic process,heterocycle metabolic process,positive regulation of biological process,positive regulation of cellular process,regulation of biological process,regulation of cellular process,response to stimulus,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,regulation of RNA metabolic process,positive regulation of RNA metabolic process,regulation of macromolecule metabolic process,biological regulation,cell wall organization or biogenesis,plant-type cell wall organization or biogenesis,organic substance metabolic process,cellular component organization or biogenesis,regulation of primary metabolic process,nucleic acid metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organic substance biosynthetic process,positive regulation of RNA biosynthetic process,regulation of cell wall organization or biogenesis,regulation of secondary cell wall biogenesis,regulation of RNA biosynthetic process	pericycle_Cluster_4	pericycle	1	5	152	3.5081599999999997e-37	0.7794871794871795	1.015384615384615	1.0056304520222046	1.0620741049365623	2.6573875890185183e-96	1.12037e-06	GO:0022622	root system development	12.0	1.0	1.0
AT1G28370	ATERF11/ ERF11	relevant_known_TF	GO:0010087	phloem or xylem histogenesis	procambium_Cluster_22.1	procambium	1	6	89	3.26556e-13	0.6312056737588653	1.029550827423168	1.0089412360688956	0.28731417555589417	2.55866508845716e-10	2.05563e-05	GO:0010087	phloem or xylem histogenesis	5.0	2.0	1.0
AT5G07100	WRKY26	known_TF	GO:0006950,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010286,GO:0033554,GO:0034605,GO:0050896,GO:0051716,GO:0070370	response to stress,response to temperature stimulus,response to heat,response to abiotic stimulus,cellular process,heat acclimation,cellular response to stress,cellular response to heat,response to stimulus,cellular response to stimulus,cellular heat acclimation	LRC_Cluster_1	LRC	1	2	161	1.0233e-52	0.7155555555555555	1.0044444444444445	1.0013492063492064	0.7186547714817227	0.0	7.58815e-05	GO:0022622	root system development	10.0	3.0	1.0
AT1G61660	ATBHLH112/ PFA4	known_TF	GO:0000820,GO:0001101,GO:0006082,GO:0006139,GO:0006351,GO:0006355,GO:0006520,GO:0006521,GO:0006560,GO:0006725,GO:0006807,GO:0006950,GO:0006970,GO:0007154,GO:0008152,GO:0009058,GO:0009059,GO:0009064,GO:0009308,GO:0009414,GO:0009415,GO:0009605,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0009991,GO:0010033,GO:0010035,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010565,GO:0010604,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019752,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031668,GO:0032774,GO:0032870,GO:0033238,GO:0033554,GO:0033993,GO:0034641,GO:0034654,GO:0042180,GO:0042221,GO:0042631,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0062012,GO:0062197,GO:0065007,GO:0070887,GO:0071214,GO:0071215,GO:0071229,GO:0071310,GO:0071396,GO:0071462,GO:0071470,GO:0071472,GO:0071495,GO:0071496,GO:0071704,GO:0072593,GO:0080090,GO:0090304,GO:0097305,GO:0097306,GO:0104004,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1901605,GO:1901700,GO:1901701,GO:1902074,GO:1902075,GO:1902680,GO:2000214,GO:2000377,GO:2001141	regulation of glutamine family amino acid metabolic process,response to acid chemical,organic acid metabolic process,nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,amino acid metabolic process,regulation of cellular amino acid metabolic process,proline metabolic process,cellular aromatic compound metabolic process,nitrogen compound metabolic process,response to stress,response to osmotic stress,cell communication,metabolic process,biosynthetic process,macromolecule biosynthetic process,glutamine family amino acid metabolic process,amine metabolic process,response to water deprivation,response to water,response to external stimulus,response to abiotic stimulus,response to salt stress,response to endogenous stimulus,response to hormone,response to abscisic acid,regulation of biosynthetic process,positive regulation of biosynthetic process,positive regulation of metabolic process,cellular process,response to extracellular stimulus,response to organic substance,response to inorganic substance,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,regulation of cellular ketone metabolic process,positive regulation of macromolecule metabolic process,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,carboxylic acid metabolic process,regulation of cellular metabolic process,positive regulation of cellular metabolic process,regulation of cellular biosynthetic process,positive regulation of cellular biosynthetic process,cellular response to extracellular stimulus,RNA biosynthetic process,cellular response to hormone stimulus,regulation of amine metabolic process,cellular response to stress,response to lipid,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,cellular ketone metabolic process,response to chemical,cellular response to water deprivation,macromolecule metabolic process,oxoacid metabolic process,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,small molecule metabolic process,positive regulation of DNA-templated transcription,positive regulation of nucleobase-containing compound metabolic process,heterocycle metabolic process,positive regulation of biological process,positive regulation of cellular process,regulation of biological process,regulation of cellular process,response to stimulus,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,regulation of RNA metabolic process,positive regulation of RNA metabolic process,cellular response to stimulus,regulation of macromolecule metabolic process,regulation of small molecule metabolic process,cellular response to chemical stress,biological regulation,cellular response to chemical stimulus,cellular response to abiotic stimulus,cellular response to abscisic acid stimulus,cellular response to acid chemical,cellular response to organic substance,cellular response to lipid,cellular response to water stimulus,cellular response to osmotic stress,cellular response to salt stress,cellular response to endogenous stimulus,cellular response to external stimulus,organic substance metabolic process,reactive oxygen species metabolic process,regulation of primary metabolic process,nucleic acid metabolic process,response to alcohol,cellular response to alcohol,cellular response to environmental stimulus,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organonitrogen compound metabolic process,organic substance biosynthetic process,alpha-amino acid metabolic process,response to oxygen-containing compound,cellular response to oxygen-containing compound,response to salt,cellular response to salt,positive regulation of RNA biosynthetic process,regulation of proline metabolic process,regulation of reactive oxygen species metabolic process,regulation of RNA biosynthetic process	procambium_Cluster_21	procambium	1	8	89	2.16782e-14	0.326007326007326	1.0256410256410255	1.0019751490339726	2.3203564169970265	0.0	0.0124999	GO:0048527	lateral root development	2.0	4.0	3.0
AT2G20880	ERF53/ ATERF53/ AtERF53	known_TF	GO:0001101,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006970,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009414,GO:0009415,GO:0009628,GO:0009651,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010035,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0033554,GO:0034605,GO:0034641,GO:0034654,GO:0042221,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0080134,GO:0080135,GO:0090304,GO:1900034,GO:1900036,GO:1901360,GO:1901362,GO:1901576,GO:1901700,GO:1902074,GO:1902680,GO:2000070,GO:2001141	response to acid chemical,nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,cellular aromatic compound metabolic process,nitrogen compound metabolic process,response to stress,response to osmotic stress,metabolic process,biosynthetic process,macromolecule biosynthetic process,response to temperature stimulus,response to heat,response to water deprivation,response to water,response to abiotic stimulus,response to salt stress,regulation of biosynthetic process,positive regulation of biosynthetic process,positive regulation of metabolic process,cellular process,response to organic substance,response to inorganic substance,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,regulation of cellular metabolic process,positive regulation of cellular metabolic process,regulation of cellular biosynthetic process,positive regulation of cellular biosynthetic process,RNA biosynthetic process,cellular response to stress,cellular response to heat,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,response to chemical,macromolecule metabolic process,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,positive regulation of DNA-templated transcription,positive regulation of nucleobase-containing compound metabolic process,heterocycle metabolic process,positive regulation of biological process,positive regulation of cellular process,regulation of response to stimulus,positive regulation of response to stimulus,regulation of biological process,regulation of cellular process,response to stimulus,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,regulation of RNA metabolic process,positive regulation of RNA metabolic process,cellular response to stimulus,regulation of macromolecule metabolic process,biological regulation,organic substance metabolic process,regulation of primary metabolic process,regulation of response to stress,regulation of cellular response to stress,nucleic acid metabolic process,regulation of cellular response to heat,positive regulation of cellular response to heat,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organic substance biosynthetic process,response to oxygen-containing compound,response to salt,positive regulation of RNA biosynthetic process,regulation of response to water deprivation,regulation of RNA biosynthetic process	procambium_Cluster_21	procambium	1	8	188	4.19468e-43	0.6886446886446886	1.0163170163170163	1.0027315413344826	0.6696201454959871	3.319729604235908e-85	0.000238744	GO:0022622	root system development	10.0	5.0	1.0
AT1G79180	ATMYB63/ MYB63	known_TF	GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009698,GO:0009699,GO:0009808,GO:0009809,GO:0009832,GO:0009834,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019748,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0034641,GO:0034654,GO:0042546,GO:0043170,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044550,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071554,GO:0071669,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:1901360,GO:1901362,GO:1901576,GO:1902680,GO:1903338,GO:2000652,GO:2001141	nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,cellular aromatic compound metabolic process,nitrogen compound metabolic process,metabolic process,biosynthetic process,macromolecule biosynthetic process,response to radiation,response to UV,response to light stimulus,response to abiotic stimulus,phenylpropanoid metabolic process,phenylpropanoid biosynthetic process,lignin metabolic process,lignin biosynthetic process,plant-type cell wall biogenesis,plant-type secondary cell wall biogenesis,regulation of biosynthetic process,positive regulation of biosynthetic process,positive regulation of metabolic process,cellular process,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,secondary metabolic process,regulation of cellular metabolic process,positive regulation of cellular metabolic process,regulation of cellular biosynthetic process,positive regulation of cellular biosynthetic process,RNA biosynthetic process,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,cell wall biogenesis,macromolecule metabolic process,cellular component biogenesis,regulation of cellular component biogenesis,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,secondary metabolite biosynthetic process,positive regulation of DNA-templated transcription,positive regulation of nucleobase-containing compound metabolic process,heterocycle metabolic process,positive regulation of biological process,positive regulation of cellular process,regulation of biological process,regulation of cellular process,response to stimulus,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,regulation of RNA metabolic process,positive regulation of RNA metabolic process,regulation of macromolecule metabolic process,biological regulation,cell wall organization or biogenesis,plant-type cell wall organization or biogenesis,organic substance metabolic process,cellular component organization or biogenesis,regulation of primary metabolic process,nucleic acid metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organic substance biosynthetic process,positive regulation of RNA biosynthetic process,regulation of cell wall organization or biogenesis,regulation of secondary cell wall biogenesis,regulation of RNA biosynthetic process	pericycle_Cluster_3	pericycle	1	3	157	6.702669999999999e-12	0.7201834862385321	1.0061162079510704	1.0018390901788357	4.0060573668019615	9.2579790341779e-301	0.016072200000000002	GO:0010087	phloem or xylem histogenesis	3.0	6.0	2.0
AT2G20880	ERF53/ ATERF53/ AtERF53	known_TF	GO:0001101,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006970,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009414,GO:0009415,GO:0009628,GO:0009651,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010033,GO:0010035,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0033554,GO:0034605,GO:0034641,GO:0034654,GO:0042221,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0080134,GO:0080135,GO:0090304,GO:1900034,GO:1900036,GO:1901360,GO:1901362,GO:1901576,GO:1901700,GO:1902074,GO:1902680,GO:2000070,GO:2001141	response to acid chemical,nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,cellular aromatic compound metabolic process,nitrogen compound metabolic process,response to stress,response to osmotic stress,metabolic process,biosynthetic process,macromolecule biosynthetic process,response to temperature stimulus,response to heat,response to water deprivation,response to water,response to abiotic stimulus,response to salt stress,regulation of biosynthetic process,positive regulation of biosynthetic process,positive regulation of metabolic process,cellular process,response to organic substance,response to inorganic substance,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,regulation of cellular metabolic process,positive regulation of cellular metabolic process,regulation of cellular biosynthetic process,positive regulation of cellular biosynthetic process,RNA biosynthetic process,cellular response to stress,cellular response to heat,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,response to chemical,macromolecule metabolic process,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,positive regulation of DNA-templated transcription,positive regulation of nucleobase-containing compound metabolic process,heterocycle metabolic process,positive regulation of biological process,positive regulation of cellular process,regulation of response to stimulus,positive regulation of response to stimulus,regulation of biological process,regulation of cellular process,response to stimulus,regulation of nitrogen compound metabolic process,positive regulation of nitrogen compound metabolic process,regulation of RNA metabolic process,positive regulation of RNA metabolic process,cellular response to stimulus,regulation of macromolecule metabolic process,biological regulation,organic substance metabolic process,regulation of primary metabolic process,regulation of response to stress,regulation of cellular response to stress,nucleic acid metabolic process,regulation of cellular response to heat,positive regulation of cellular response to heat,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organic substance biosynthetic process,response to oxygen-containing compound,response to salt,positive regulation of RNA biosynthetic process,regulation of response to water deprivation,regulation of RNA biosynthetic process	procambium_Cluster_22.1	procambium	1	6	96	9.2551e-19	0.6808510638297872	1.0253292806484295	1.0063829787234042	0.6947290869456412	0.008742668516588841	0.00550868	GO:0010087	phloem or xylem histogenesis	3.0	7.0	2.0
AT2G28810	AT2G28810	known_TF	GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:1901360,GO:1901362,GO:1901576,GO:2001141	nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,cellular aromatic compound metabolic process,nitrogen compound metabolic process,metabolic process,biosynthetic process,macromolecule biosynthetic process,regulation of biosynthetic process,cellular process,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,regulation of cellular metabolic process,regulation of cellular biosynthetic process,RNA biosynthetic process,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,macromolecule metabolic process,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,heterocycle metabolic process,regulation of biological process,regulation of cellular process,regulation of nitrogen compound metabolic process,regulation of RNA metabolic process,regulation of macromolecule metabolic process,biological regulation,organic substance metabolic process,regulation of primary metabolic process,nucleic acid metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organic substance biosynthetic process,regulation of RNA biosynthetic process	phloem_Cluster_6	phloem	1	1	122	5.29595e-10	1.0	0.0012559945192966429	0.00026181478075709425	4.953195534546801	6.284914742621634e-272	0.000266073	GO:0010088	phloem development	3.0	8.0	1.0
AT5G59780	MYB59/ ATMYB59-3/ ATMYB59/ ATMYB59-1/ ATMYB59-2	known_TF	GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010200,GO:0010243,GO:0010467,GO:0010468,GO:0010556,GO:0010959,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0030001,GO:0031323,GO:0031326,GO:0032774,GO:0032879,GO:0034641,GO:0034654,GO:0035864,GO:0035865,GO:0042221,GO:0043170,GO:0043266,GO:0043269,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051171,GO:0051179,GO:0051234,GO:0051252,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0071241,GO:0071248,GO:0071704,GO:0080090,GO:0090304,GO:1901360,GO:1901362,GO:1901576,GO:1901698,GO:1901700,GO:1901701,GO:1902074,GO:1902075,GO:2001141	nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,cellular aromatic compound metabolic process,nitrogen compound metabolic process,transport,monoatomic ion transport,monoatomic cation transport,potassium ion transport,metabolic process,biosynthetic process,macromolecule biosynthetic process,regulation of biosynthetic process,cellular process,response to organic substance,response to inorganic substance,response to metal ion,response to chitin,response to organonitrogen compound,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,regulation of metal ion transport,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,metal ion transport,regulation of cellular metabolic process,regulation of cellular biosynthetic process,RNA biosynthetic process,regulation of localization,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,response to potassium ion,cellular response to potassium ion,response to chemical,macromolecule metabolic process,regulation of potassium ion transport,regulation of monoatomic ion transport,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,heterocycle metabolic process,regulation of biological process,regulation of cellular process,response to stimulus,regulation of transport,regulation of nitrogen compound metabolic process,localization,establishment of localization,regulation of RNA metabolic process,cellular response to stimulus,regulation of macromolecule metabolic process,biological regulation,cellular response to chemical stimulus,cellular response to inorganic substance,cellular response to metal ion,organic substance metabolic process,regulation of primary metabolic process,nucleic acid metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organic substance biosynthetic process,response to nitrogen compound,response to oxygen-containing compound,cellular response to oxygen-containing compound,response to salt,cellular response to salt,regulation of RNA biosynthetic process	pericycle_Cluster_20	pericycle	1	4	74	0.000104036	0.3378995433789954	1.0136986301369864	1.0039901973105445	1.9708746068851608	0.0	0.000112967	GO:0022622	root system development	7.0	9.0	1.0
AT2G28810	AT2G28810	known_TF	GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:1901360,GO:1901362,GO:1901576,GO:2001141	nucleobase-containing compound metabolic process,DNA-templated transcription,regulation of DNA-templated transcription,cellular aromatic compound metabolic process,nitrogen compound metabolic process,metabolic process,biosynthetic process,macromolecule biosynthetic process,regulation of biosynthetic process,cellular process,gene expression,regulation of gene expression,regulation of macromolecule biosynthetic process,RNA metabolic process,heterocycle biosynthetic process,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,aromatic compound biosynthetic process,regulation of cellular metabolic process,regulation of cellular biosynthetic process,RNA biosynthetic process,cellular nitrogen compound metabolic process,nucleobase-containing compound biosynthetic process,macromolecule metabolic process,cellular metabolic process,primary metabolic process,cellular biosynthetic process,cellular nitrogen compound biosynthetic process,heterocycle metabolic process,regulation of biological process,regulation of cellular process,regulation of nitrogen compound metabolic process,regulation of RNA metabolic process,regulation of macromolecule metabolic process,biological regulation,organic substance metabolic process,regulation of primary metabolic process,nucleic acid metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,organic substance biosynthetic process,regulation of RNA biosynthetic process	pericycle_Cluster_4	pericycle	1	5	130	1.02988e-18	0.6666666666666666	0.0012559945192966429	0.00026181478075709425	3.083898715393741	5.088808020635294e-266	1.39982e-05	GO:0022622	root system development	10.0	10.0	2.0
