	isTF_expressed	isTF_expressionRegulons	isTF_TFBSRegulons	isTF_finalRegulons	LRC-0	LRC-1	LRC-11	LRC-12	LRC-18	LRC-2	LRC-30	LRC-35.0	LRC-36	QC-37	atrichoblast-26	atrichoblast-34	columella-9	cortex-13	cortex-17	cortex-25	cortex-7	dividing-19	endodermis-14	endodermis-23	endodermis-29	epidermis-15	initials-10	initials-22.2	pericycle-16.0	pericycle-20	pericycle-3	pericycle-33	pericycle-4	pericycle-8	phloem-16.1	phloem-28	phloem-6	procambium-21	procambium-22.1	procambium-32	procambium-5	trichoblast-24	trichoblast-27	xylem-22.0	xylem-31
AT1G01010	0	0	0	0																																									
AT1G01030	1	1	0	0	0.0	0.0	0.0	2.1	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	4.3	25.0	0.0	2.2	1.7	0.0	28.6	2.1	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G01060	0	0	0	0																																									
AT1G01250	0	0	0	0																																									
AT1G01260	0	0	0	0																																									
AT1G01350	1	1	0	0	0.0	4.4	3.5	14.9	0.0	7.1	13.6	0.0	0.0	14.3	13.3	0.0	2.2	18.0	6.4	25.0	3.8	22.2	0.0	2.6	19.0	27.7	14.8	0.0	13.6	8.9	40.0	6.2	4.6	19.6	0.0	7.4	6.4	13.6	7.7	4.8	1.6	0.0	5.0	6.7	3.2
AT1G01380	0	0	0	0																																									
AT1G01520	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G01530	0	0	0	0																																									
AT1G01720	1	1	0	0	11.4	89.7	91.2	61.7	11.9	71.4	90.9	72.7	75.0	100.0	73.3	27.3	56.5	55.7	40.4	87.5	17.3	62.2	10.2	28.9	81.0	89.4	74.1	50.0	27.3	62.2	78.0	93.8	26.2	44.6	81.2	33.3	36.2	90.9	76.9	57.1	16.4	0.0	20.0	40.0	22.6
AT1G01780	0	0	0	0																																									
AT1G01920	1	1	0	0	0.0	1.5	1.8	19.1	0.0	5.7	4.5	0.0	0.0	0.0	23.3	0.0	4.3	21.3	8.5	54.2	0.0	22.2	0.0	0.0	0.0	51.1	33.3	33.3	0.0	0.0	0.0	0.0	1.5	10.7	0.0	0.0	0.0	0.0	7.7	0.0	0.0	0.0	5.0	6.7	0.0
AT1G02030	0	0	0	0																																									
AT1G02040	0	0	0	0																																									
AT1G02065	0	0	0	0																																									
AT1G02210	0	0	0	0																																									
AT1G02220	0	0	0	0																																									
AT1G02230	0	0	0	0																																									
AT1G02250	0	0	0	0																																									
AT1G02340	0	0	0	0																																									
AT1G02580	0	0	0	0																																									
AT1G03040	1	1	0	0	0.0	2.9	1.8	12.8	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	6.5	39.3	6.4	66.7	7.7	8.9	1.7	10.5	66.7	6.4	14.8	0.0	22.7	13.3	62.0	31.2	15.4	39.3	18.8	11.1	10.6	25.0	23.1	0.0	3.3	0.0	0.0	0.0	3.2
AT1G03350	0	0	0	0																																									
AT1G03490	0	0	0	0																																									
AT1G03790	0	0	0	0																																									
AT1G03800	0	0	0	0																																									
AT1G03840	0	0	0	0																																									
AT1G03970	0	0	0	0																																									
AT1G04050	0	0	0	0																																									
AT1G04370	0	0	0	0																																									
AT1G04445	0	0	0	0																																									
AT1G04880	0	0	0	0																																									
AT1G04990	1	1	0	0	0.0	11.8	8.8	2.1	0.0	0.0	0.0	9.1	0.0	0.0	10.0	0.0	4.3	0.0	6.4	0.0	7.7	0.0	1.7	2.6	42.9	0.0	0.0	0.0	9.1	0.0	8.0	6.2	7.7	12.5	0.0	14.8	6.4	11.4	23.1	23.8	1.6	0.0	15.0	33.3	25.8
AT1G05230	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT1G05710	0	0	0	0																																									
